Q. No.,Question,Option A,Option B,Option C,Option D,Correct Answer,Marks
1,What is the primary purpose of the 'stdio.h' header file?,To perform string manipulations,To handle file input and output,To perform standard input and output operations,To define mathematical functions,C,1
2,Which data type is best suited for storing a whole number without decimals?,float,char,int,double,C,1
3,What is the output of this code: 'printf(%d' 5 + 3);'?,5,3,8,Error,C,1
4,Which operator is used to check for equality between two values?,=,==,!=,>,B,1
5,What does the '++' operator do in C?,Increases the value by 2,Decreases the value by 1,Increases the value by 1,No change in value,C,1
6,Which of the following is a valid variable name?,123variable,my_variable,my-variable,my variable,B,1
7,What is the purpose of the 'if' statement?,To define a function,To create a loop,To make decisions based on conditions,To declare variables,C,1
8,What does the 'else' keyword do in conjunction with an 'if' statement?,Executes code if the condition is true,Executes code regardless of the condition,Executes code if the condition is false,Defines a new variable,C,1
9,What is the output of this code: 'int x = 7; if (x > 5) printf(Greater);'?,Greater,Less,Equal,No output,A,1
10,Which loop is best suited for iterating a known number of times?,while loop,do-while loop,for loop,if-else statement,C,1
11,What is the output of this code: 'for (int i = 0; i < 3; i++) printf(%d ' i);'?,0 1 2,1 2 3,0 0 0,1 1 1,A,1
12,What is an array in C?,A single variable,A collection of different data types,A collection of the same data type,A function,C,1
13,How do you access the first element of an array named 'arr'?,arr[1],arr[0],arr,arr.first,B,1
14,What is a pointer variable?,A variable that stores a value,A variable that stores a memory address,A constant variable,A global variable,B,1
15,Which symbol is used to get the address of a variable?,*,&,%,$,B,1
16,What is the purpose of a function in C?,To declare variables,To perform a specific task,To define data types,To control program flow,B,1
17,Which keyword is used to return a value from a function?,void,main,return,int,C,1
18,What is the output of this code: 'int add(int a int b) { return a + b; } int main() { printf(%d' add(5 2)); }'?,5,2,7,Error,C,1
19,What is the purpose of the 'const' keyword?,To declare a constant variable,To define a function,To create a loop,To include a header file,A,1
20,Which of the following is a valid C comment?,// This is a comment,/* This is a comment*/,# This is a comment,!-- This is a comment --,A,1
21,What is the output of this code: 'int a = 5; a -= 2; printf(%d' a);'?,5,2,3,7,C,1
22,Which operator has the highest precedence?,*,+,-,=,A,1
23,What is the output of this code: 'int x = 10; if (x != 5) printf(Not five);'?,Five,Not five,Equal,No output,B,1
24,Which loop executes at least once?,while loop,for loop,do-while loop,if-else statement,C,1
25,What is the output of this code: 'int arr[3] = {1 2 3}; printf(%d' arr[1]);'?,1,2,3,Error,B,1
26,What is the size of an 'int' data type on most systems?,2 bytes,4 bytes,8 bytes,Depends on the compiler,B,1
27,Which header file is required for dynamic memory allocation functions?,stdio.h,stdlib.h,string.h,math.h,B,1
28,What is the purpose of 'malloc()' function?,To allocate memory,To free memory,To reallocate memory,To copy memory,A,1
29,Which operator is used to access members of a structure using a pointer?,.,->,:,&,B,1
30,What is a structure in C?,A collection of different data types,A collection of the same data type,A single variable,A function,A,1
31,Explain the difference between '==' and '=' operators in C.,'==' assigns a value '=' compares values,'==' compares values '=' assigns a value,'==' is used for strings '=' is used for integers,'==' is not a valid operator,B,2
32,Describe the purpose of the 'break' statement within a loop.,To exit the loop prematurely,To skip the current iteration,To continue the loop,To define a function,A,2
33,What is the output of this code: 'int x = 5; if (x > 3 && x < 7) printf(In range);'?,In range,Out of range,Greater than 3,Less than 7,A,2
34,Explain the difference between a 'while' loop and a 'do-while' loop.,'while' loop always executes at least once 'do-while' loop may not,'do-while' loop always executes at least once 'while' loop may not,'while' loop is used for integers 'do-while' loop is used for floats,There is no difference,B,2
35,What is the output of this code: 'int arr[3] = {10 20 30}; int *ptr = arr; printf(%d' *(ptr + 2));'?,10,20,30,Error,C,2
36,Explain the concept of 'call by value' in functions.,The function modifies the original variable,The function receives a copy of the variable's value,The function receives the variable's memory address,The function cannot modify the variable,B,2
37,What is the purpose of the 'static' keyword within a function?,To make a variable global,To make a variable accessible outside the function,To preserve the variable's value between function calls,To define a constant variable,C,2
38,What is the output of this code: 'int factorial(int n) { if (n == 0) return 1; else return n * factorial(n - 1); } int main() { printf(%d' factorial(4)); }'?,4,24,120,Error,B,2
39,Explain the difference between 'malloc()' and 'calloc()' functions.,'malloc()' initializes memory to zero 'calloc()' does not,'calloc()' initializes memory to zero 'malloc()' does not,'malloc()' allocates memory for a single element 'calloc()' allocates for multiple,'calloc()' is faster than 'malloc()',B,2
40,What is the purpose of the 'free()' function?,To allocate memory,To reallocate memory,To release dynamically allocated memory,To copy memory,C,2
41,What is a 'structure' in C and how does it differ from an array?,A structure stores different data types an array stores the same,'A structure stores the same data type an array stores different,'A structure is a function an array is a variable,'There is no difference,A,2
42,Explain the concept of 'pointer arithmetic'.,Adding or subtracting values to/from pointers to navigate memory,Performing mathematical operations on the values pointed to by pointers,Converting pointers to integers,Comparing pointer values,A,2
43,What is the output of this code: 'struct Point { int x; int y; }; struct Point p = {1 2}; struct Point *ptr = &p; printf(%d' ptr->y);'?,1,2,3,Error,B,2
44,Explain the use of the 'typedef' keyword.,To define a new data type name,'To declare a variable,'To define a function,'To include a header file,A,2
45,What is the purpose of the 'enum' keyword?,To define a new data type for a set of named integer constants,To declare an array,To define a structure,To create a loop,A,2
46,What is the output of this code: 'enum Color {RED GREEN BLUE}; printf(%d ' GREEN);'?,0,1,2,Error,B,2
47,Explain the concept of 'recursion' in C.,A function that calls another function,A function that calls itself,A loop within a function,A variable that stores a function address,B,2
48,What is the output of this code: 'int count(int n) { if (n == 0) return 0; else return 1 + count(n / 10); } int main() { printf(%d' count(1234)); }'?,1,2,3,4,D,2
49,Explain the difference between 'local' and 'global' variables.,Local variables are accessible everywhere global variables are only within a function,'Global variables are accessible everywhere local variables are only within a function,'Local variables are constants global variables are not,'There is no difference,B,2
50,What is the purpose of a 'header file' in C?,To store the main function,To define functions used in the program,To declare function prototypes and global variables,To store program data,C,2
51,Explain the concept of 'file handling' in C.,Manipulating data within memory,Reading from and writing to files on storage devices,Displaying output on the console,Taking input from the user,B,2
52,What is the purpose of the 'fopen()' function?,To open a file,To close a file,To read from a file,To write to a file,A,2
53,What is the output of this code: 'FILE *fp = fopen(test.txt r); if (fp == NULL) printf(Error); else printf(File opened);' (Assume test.txt exists),Error,File opened,No output,Program crash,B,2
54,Explain the use of the 'fprintf()' function.,To read formatted data from a file,To write formatted data to a file,To print formatted data to the console,To get input from the user,B,2
55,What is the purpose of the 'fclose()' function?,To open a file,To read from a file,To write to a file,To close a file,D,2
56,Explain the concept of 'dynamic memory allocation' in C.,Allocating memory at compile time,Allocating memory at runtime,Allocating memory for static variables,Allocating memory on the hard drive,B,2
57,What is the purpose of the 'realloc()' function?,To allocate memory,To free memory,To change the size of allocated memory,To copy memory,C,2
58,What is the output of this code: 'int *arr = (int*)malloc(3 * sizeof(int)); arr[0] = 1; arr[1] = 2; arr[2] = 3; free(arr); printf(%d' arr[1]);' (Undefined Behavior),1,2,3,Undefined Behavior,D,2
59,Explain the difference between 'pass by value' and 'pass by reference'.,In pass by value the function modifies the original variable in pass by reference it doesnt,'In pass by reference the function modifies the original variable in pass by value it doesnt,'Both are the same,'Pass by reference is not a valid concept in C,B,2
60,What is a 'union' in C and how does it differ from a 'structure'?,A union stores different data types at the same memory location a structure stores them separately,'A structure stores different data types at the same memory location a union stores them separately,'A union is a function a structure is a variable,'There is no difference,A,2
61,Explain the concept of function pointers in C and provide an example of their use.,Function pointers are used to store the memory addresses of functions allowing for dynamic function calls. For example you can create an array of function pointers and call different functions based on user input.,Function pointers are used to call functions recursively.,Function pointers are used to define function prototypes.,Function pointers are not allowed in C.,A,4
62,Describe the process of memory management in C including the use of malloc calloc realloc and free. Explain the importance of avoiding memory leaks and dangling pointers.,Memory management in C involves allocating memory using malloc calloc or realloc and releasing it using free. malloc allocates a block of memory calloc allocates and initializes memory and realloc changes the size of allocated memory. Memory leaks occur when allocated memory is not freed and dangling pointers point to freed memory which can lead to crashes or unpredictable behavior.,Memory management in C is automatic and does not require explicit allocation or freeing.,Memory management only involves using malloc and free.,Memory management in C is handled by the operating system and is not the programmers responsibility.,A,4
63,Explain the concept of bitwise operators in C and provide examples of their use in tasks such as setting clearing and toggling bits.,Bitwise operators in C perform operations on individual bits. The & operator performs bitwise AND the | operator performs bitwise OR the ^ operator performs bitwise XOR the ~ operator performs bitwise NOT the << operator performs left shift and the >> operator performs right shift. They are used for tasks like setting bits (using |) clearing bits (using & and ~) and toggling bits (using ^).,Bitwise operators are used for arithmetic operations on integers.,Bitwise operators are used for string manipulation.,Bitwise operators are not supported in C.,A,4
64,Describe the use of structures and unions in C and explain the trade-offs between them in terms of memory usage and access speed. Provide a scenario where each would be more appropriate.,Structures store multiple variables of different types together providing a way to represent complex data. Unions store multiple variables but only one at a time sharing the same memory location. Structures use more memory but provide faster access to individual members while unions use less memory but accessing members can be slower. Structures are suitable for representing records while unions are useful for memory optimization when only one member is needed at a time.,Structures and unions are interchangeable.,Structures are faster and use less memory.,Unions are faster and use more memory.,A,4
65,Explain the concept of file I/O in C including the functions for opening reading writing and closing files. Discuss different file modes and error handling techniques.,File I/O in C involves using functions like fopen() for opening files fclose() for closing files fread() and fwrite() for reading and writing data and fprintf() and fscanf() for formatted I/O. File modes specify the purpose of opening a file (r w a rb wb ab etc.). Error handling is crucial using functions like ferror() and perror() to check for and report file operations failures.,File I/O in C is limited to reading and writing text files.,File I/O is not supported in C.,File I/O is handled automatically by the compiler.,A,4
66,Describe the use of preprocessor directives in C such as #include #define #ifdef #ifndef and #endif. Explain how they can be used for conditional compilation and code organization.,Preprocessor directives are instructions to the compiler before the compilation process. #include includes header files #define defines macros #ifdef #ifndef and #endif are used for conditional compilation allowing code to be included or excluded based on defined symbols. They help in code organization and platform-specific compilation.,Preprocessor directives are used for debugging code.,Preprocessor directives are used for memory management.,Preprocessor directives are not allowed in C.,A,4
67,Explain the concept of dynamic memory allocation in C and the importance of memory management. Discuss the potential problems of memory leaks and dangling pointers and how to avoid them.,Dynamic memory allocation in C involves allocating memory at runtime using malloc calloc and realloc. Memory management is crucial to prevent memory leaks (not freeing allocated memory) and dangling pointers (pointers pointing to freed memory). Proper use of free() and careful pointer handling are essential to avoid these issues.,Dynamic memory allocation is automatic in C.,Memory management is not important in C.,Memory leaks and dangling pointers are not problems in C.,A,4
68,Describe the concept of recursion in C and explain how it differs from iteration. Discuss the advantages and disadvantages of using recursion and provide examples of problems where it is well-suited.,Recursion is a function calling itself while iteration uses loops. Recursion can provide elegant solutions for certain problems like tree traversals and fractals but it can be less efficient due to function call overhead and can lead to stack overflow errors. Iteration is generally more efficient but may require more complex code for some problems.,Recursion and iteration are the same.,Recursion is always more efficient than iteration.,Recursion is not allowed in C.,A,4
69,Explain the concept of pointers to functions in C and provide examples of how they can be used to pass functions as arguments to other functions or to create arrays of functions.,Pointers to functions store the memory addresses of functions allowing them to be passed as arguments to other functions or stored in arrays for dynamic function calls. This enables flexible and dynamic programming techniques.,Pointers to functions are used for memory management.,Both A and B,None of the Above,C,4
70,Explain the concept of variable scope and lifetime in C. Differentiate between local global and static variables and their accessibility and duration.,Variable scope refers to where a variable can be accessed and lifetime refers to how long it exists in memory. Local variables are declared within a block and are only accessible within that block their lifetime is limited to the block's execution. Global variables are declared outside any function and are accessible throughout the program their lifetime is the program's execution. Static variables can be local (retaining their value between function calls) or global (limited to the file).,Variable scope and lifetime are the same for all variables.,All variables have global scope.,Static variables are only accessible within the main function.,A,4
71,Describe the use of command-line arguments in C and explain how to access them using 'argc' and 'argv'. Provide an example of a program that processes command-line input.,Command-line arguments are passed to a C program when it's executed. 'argc' stores the number of arguments and 'argv' is an array of strings containing the arguments. They are accessed in 'main()' and allow for program customization. For example a program could take a filename as a command-line argument.,Command-line arguments are not supported in C.,Command-line arguments are only accessible within functions.,Command-line arguments are stored in global variables.,A,4
72,Explain the concept of dynamic linking and static linking in C. Discuss the advantages and disadvantages of each approach and provide scenarios where one might be preferred over the other.,Static linking copies library code into the executable increasing its size but eliminating external dependencies. Dynamic linking links libraries at runtime reducing executable size but requiring the libraries to be present on the system. Static linking is preferred when portability is crucial while dynamic linking is better for reducing disk space and allowing library updates.,Static linking is faster than dynamic linking.,Dynamic linking increases executable size.,Static linking and dynamic linking are the same.,A,4
73,Describe the concept of multi-threading in C and explain how to create and manage threads using the 'pthread' library. Discuss the challenges of concurrent programming such as race conditions and deadlocks and how to address them.,Multi-threading allows a program to execute multiple parts concurrently. The 'pthread' library provides functions for thread creation management and synchronization. Race conditions occur when multiple threads access shared data concurrently leading to unpredictable results. Deadlocks occur when threads are blocked waiting for each other. Synchronization mechanisms like mutexes and semaphores are used to address these challenges.,Multi-threading is automatic in C.,C does not support multi-threading.,Multi-threading is always faster than single-threading.,A,4
74,Explain the concept of network programming in C and describe how to create a simple client-server application using sockets. Discuss the functions for socket creation connection sending and receiving data.,Network programming in C involves using sockets to communicate between processes over a network. Functions like socket() bind() listen() connect() send() and recv() are used to create sockets establish connections and exchange data. A client-server application involves a server listening for connections and a client connecting to the server.,Network programming is not possible in C.,C only supports client-side network programming.,C only supports server-side network programming.,A,4
75,Describe the concept of data structures in C and explain the implementation and use of linked lists stacks and queues. Discuss the advantages and disadvantages of each data structure and provide scenarios where they are appropriate.,Data structures organize data for efficient access and manipulation. Linked lists are dynamic lists with nodes containing data and pointers. Stacks are LIFO (Last-In First-Out) structures. Queues are FIFO (First-In First-Out) structures. Linked lists offer flexibility but can be slower for random access. Stacks are used for function calls and expression evaluation. Queues are used for scheduling and buffering.,Data structures are not supported in C.,All data structures are equally efficient.,Linked lists are always the best choice.,A,4
76,Explain the concept of tree data structures in C focusing on binary trees and binary search trees. Describe the algorithms for traversing searching inserting and deleting nodes in a binary search tree and analyze their time complexity.,Binary trees are hierarchical data structures where each node has at most two children. Binary search trees maintain an ordering property for efficient searching. Traversal algorithms include in-order pre-order and post-order. Search insertion and deletion operations in a balanced binary search tree have an average time complexity of O(log n).,Trees are not supported in C.,All tree operations have O(n) time complexity.,Binary trees are always balanced.,A,4
77,Describe the concept of graph data structures in C and explain different ways to represent graphs such as adjacency matrices and adjacency lists. Discuss common graph algorithms such as depth-first search (DFS) and breadth-first search (BFS) and their applications.,Graphs represent relationships between entities. Adjacency matrices use a 2D array to indicate edges while adjacency lists use lists to store neighbors. DFS explores as far as possible along each branch before backtracking. BFS explores all neighbors at the current depth before moving to the next level. They are used in network analysis pathfinding and scheduling.,Graphs are not supported in C.,Adjacency matrices are always more efficient than adjacency lists.,DFS and BFS always produce the same results.,A,4
78,Explain the concept of sorting algorithms in C and describe the implementation and time complexity of common algorithms such as bubble sort insertion sort selection sort merge sort and quicksort. Discuss the advantages and disadvantages of each algorithm and provide scenarios where they are appropriate.,Sorting algorithms arrange data in a specific order. Bubble sort insertion sort and selection sort are simple but inefficient (O(n^2)). Merge sort and quicksort are more efficient (O(n log n)) but more complex. The choice of algorithm depends on factors like data size and initial order.,All sorting algorithms have the same time complexity.,Quicksort is always the fastest sorting algorithm.,Sorting is not possible in C.,A,4
79,Describe the concept of searching algorithms in C and explain the implementation and time complexity of linear search and binary search. Discuss the advantages and disadvantages of each algorithm and the conditions under which binary search can be applied.,Searching algorithms find a specific element in a dataset. Linear search checks each element sequentially (O(n)). Binary search requires a sorted dataset and repeatedly divides the search interval in half (O(log n)). Binary search is much faster for large sorted datasets while linear search is simpler and applicable to unsorted data.,All searching algorithms have the same time complexity.,Binary search can be applied to any dataset.,Searching is not possible in C.,A,4
80,Explain the concept of string manipulation in C and describe the functions provided by the 'string.h' library for tasks such as copying concatenating comparing and searching strings. Discuss the potential problems of buffer overflows and how to prevent them.,The 'string.h' library provides functions for string operations like strcpy() strcat() strcmp() strlen() and strstr(). Buffer overflows occur when data is written beyond the allocated memory for a string leading to crashes or security vulnerabilities. Proper bounds checking and using functions like strncpy() are crucial to prevent them.,String manipulation is not supported in C.,All string operations are safe from buffer overflows.,C strings are automatically memory-managed.,A,4
81,Describe the concept of memory-mapped files in C and explain how to use the 'mmap()' function to map a file into memory. Discuss the advantages and disadvantages of memory-mapped files compared to traditional file I/O.,Memory-mapped files allow a file's contents to be accessed as if it were in memory using the mmap() function. This can improve performance for large files by reducing the number of read/write operations. However it can be more complex to manage and may not be suitable for all file types.,Memory-mapped files are slower than traditional file I/O.,Memory-mapped files are automatically managed by the operating system.,Memory-mapped files are not supported in C.,A,4
82,Explain the concept of inter-process communication (IPC) in C and describe different techniques such as pipes message queues shared memory and sockets. Discuss the advantages and disadvantages of each technique and provide scenarios where they are appropriate.,IPC allows processes to communicate and share data. Pipes are unidirectional channels. Message queues are message-based communication. Shared memory allows processes to access the same memory region. Sockets enable communication over a network. The choice depends on factors like complexity data volume and communication direction.,IPC is not possible in C.,All IPC techniques are equally efficient.,IPC is handled automatically by the operating system.,A,4
83,Describe the concept of signal handling in C and explain how to use the 'signal()' function to handle signals such as SIGINT SIGTERM and SIGSEGV. Discuss the importance of signal handling in robust program design.,Signal handling allows a program to respond to asynchronous events. The signal() function sets up handlers for specific signals. Proper signal handling is crucial for graceful program termination and error recovery.,Signal handling is not necessary in C.,All signals are handled automatically by the operating system.,C does not support signal handling.,A,4
84,Explain the concept of code optimization in C and describe different techniques for improving code performance such as loop optimization function inlining and data structure optimization. Discuss the trade-offs between code performance and code readability.,Code optimization aims to improve program execution speed and resource usage. Techniques include loop unrolling reducing function calls and choosing efficient data structures. There's often a trade-off between performance and readability as optimized code can be more complex.,Code optimization is automatic in C.,Optimized code is always more readable.,Code optimization is not necessary in C.,A,4
85,Describe the concept of software design patterns and their relevance to C programming. Provide examples of common design patterns such as the Singleton Factory and Observer patterns and explain how they can be implemented in C.,Design patterns are reusable solutions to common software design problems. While C is not object-oriented patterns like Singleton (ensuring a single instance) Factory (creating objects) and Observer (defining dependencies between objects) can be implemented using structures and function pointers. They promote code reusability and maintainability.,Design patterns are not applicable to C.,C only supports object-oriented design patterns.,Design patterns are handled automatically by the compiler.,A,4
86,Explain the concept of testing and debugging in C and describe different techniques for identifying and fixing errors in C programs. Discuss the use of debugging tools such as GDB and the importance of writing unit tests.,Testing and debugging are crucial for software quality. Techniques include print statements using debuggers like GDB and writing unit tests to verify individual components. Debuggers help in stepping through code inspecting variables and identifying errors. Unit tests automate the testing process.,Testing and debugging are not necessary in C.,All errors are caught by the compiler.,C does not have debugging tools.,A,4
87,Describe the concept of C programming standards and best practices and explain their importance in writing maintainable and portable code. Discuss common coding conventions style guides and documentation practices.,C programming standards and best practices promote consistency readability and maintainability. Coding conventions and style guides define formatting naming and commenting rules. Documentation practices ensure clear and understandable code. Adhering to these principles makes code easier to understand modify and port to different platforms.,C programming standards are not important.,There is only one universally accepted C coding standard.,All C code is automatically portable.,A,4
88,Explain the concept of embedded systems programming in C and discuss the challenges and considerations specific to programming for resource-constrained devices. Provide examples of applications of C in embedded systems.,Embedded systems programming involves writing code for devices with limited resources like memory and processing power. Considerations include real-time constraints hardware interaction and power efficiency. C is widely used in embedded systems for applications like microcontrollers and device drivers.,C cannot be used for embedded systems programming.,Embedded systems programming is the same as desktop programming.,Embedded systems have unlimited resources.,A,4
89,Describe the concept of compiler design and explain the different stages of compilation such as lexical analysis parsing semantic analysis and code generation. Discuss the role of C in compiler implementation.,Compiler design involves translating source code into machine code. Stages include lexical analysis (tokenizing) parsing (creating a syntax tree) semantic analysis (checking meaning) and code generation. C is often used to implement compilers due to its low-level access and efficiency.,Compilers are written in assembly language.,Compilation is a single-stage process.,C is not used in compiler implementation.,A,4
90,Explain the concept of operating systems and their interaction with C programs. Discuss the role of system calls and how C programs interact with the operating system kernel. Provide examples of common system calls used in C programming.,Operating systems manage computer resources and provide services to applications. System calls are functions that allow C programs to request services from the OS kernel such as file I/O memory allocation and process management. Examples include open() read() write() and fork().,C programs interact directly with hardware without the operating system.,Operating systems are written in C programs.,System calls are not used in C programming.,A,4
